Name	DNA mass (ng)	Vector	Lot number	Concentration (ng/ul)	Date arrived
VR-1	300	0	3121280	50	8/18/21
VR-10	500	0	3121289	50	8/18/21
VR-11	400	0	3121290	50	8/18/21
VR-12	5000	1	3121291	50	8/18/21
VR-13	700	0	3121292	50	8/18/21
VR-14	650	0	3121293	50	8/18/21
VR-15	5000	1	3121294	50	8/18/21
VR-16	5000	1	3121295	50	8/18/21
VR-17	5000	1	3121296	50	8/18/21
VR-18	650	0	312197	50	8/18/21
VR-19	800	0	3121288	50	8/18/21
VR-2	700	0	3121281	50	8/18/21
VR-20	5000	1	3121299	50	8/18/21
VR-22	5000	1	3121301	50	8/18/21
VR-23	5000	1	3121302	50	8/18/21
VR-25	5000	1	3121304	50	8/18/21
VR-26	400	0	3121305	50	8/18/21
VR-27	5000	1	3121306	50	8/18/21
VR-28	400	0	3121307	50	8/18/21
VR-29	800	0	3121308	50	8/18/21
VR-3	650	0	3121282	50	8/18/21
VR-30	500	0	3121309	50	8/18/21
VR-4	5000	1	3121283	50	8/18/21
VR-5	650	0	3121284	50	8/18/21
VR-6	800	0	3121285	50	8/18/21
VR-7	700	0	3121286	50	8/18/21
VR-8	5000	1	3121287	50	8/18/21